Query,Match,HMDB,PubChem,KEGG,Comment
this,Acetoacetic acid,HMDB00060,96,C00164,1
is,Beta-Alanine,HMDB00056,239,C00099,1
test,Creatine,HMDB00064,586,C00300,1
data,Dimethylglycine,HMDB00092,673,C01026,1
Fumaric acid,Fumaric acid,HMDB00134,444972,C00122,1
Glycine,Glycine,HMDB00123,750,C00037,1
Homocysteine,Homocysteine,HMDB00742,778,C05330,1
L-Cysteine,L-Cysteine,HMDB00574,5862,C00097,1
L-Isolucine,L-Isoleucine,HMDB00172,6306,C00407,1
L-Phenylalanine,L-Phenylalanine,HMDB00159,6140,C00079,1
L-Serine,L-Serine,HMDB00187,5951,C00065,1
L-Threonine,L-Threonine,HMDB00167,6288,C00188,1
L-Tyrosine,L-Tyrosine,HMDB00158,6057,C00082,1
L-Valine,L-Valine,HMDB00883,6287,C00183,1
Phenylpyruvic acid,Phenylpyruvic acid,HMDB00205,997,C00166,1
Propionic acid,Propionic acid,HMDB00237,1032,C00163,1
Pyruvic acid,Pyruvic acid,HMDB00243,1060,C00022,1
Sarcosine,Sarcosine,HMDB00271,1088,C00213,1